sorszam,message_id,at,model,input,cache_write,cache_read,output,input_sum,delta_input_sum,thinking_db,thinking_bytes,text_db,text_bytes,tool_use_db,tool_use_bytes
1,msg_011CfFJq9QX2rGQPKASja88U,2026-09-20T20:17:42.080Z,claude-fable-5-1,2,193152,26413,380,219567,,1,0,1,144,1,190
2,msg_011CfFJr3jy3J1dPdkYeDoEB,2026-09-20T20:17:51.061Z,claude-fable-5-1,32,16095,219565,286,235692,16125,1,0,0,0,1,226
3,msg_011CfFJrZRub9cmaCgZABSZU,2026-09-20T20:17:59.254Z,claude-fable-5-1,32,1543,235660,484,237235,1543,1,0,0,0,1,356
4,msg_011CfFJsA6kBzofYs4nH5wep,2026-09-20T20:18:06.049Z,claude-fable-5-1,32,3107,237203,258,240342,3107,0,0,1,161,1,242
5,msg_011CfFJsgf2Gzeh5gGnsuFdy,2026-09-20T20:18:09.965Z,claude-fable-5-1,32,2909,240310,138,243251,2909,0,0,0,0,1,153
6,msg_011CfFJsyZmDLi6ht6J8vXik,2026-09-20T20:18:18.161Z,claude-fable-5-1,32,1972,243219,386,245223,1972,1,0,0,0,1,218
7,msg_011CfFJtaFKpLEaTPvvhvY89,2026-09-20T20:18:28.976Z,claude-fable-5-1,32,3486,245191,625,248709,3486,1,0,0,0,1,465
8,msg_011CfFJuNnHU12rEjT4zRUZf,2026-09-20T20:18:39.183Z,claude-fable-5-1,32,2555,248677,586,251264,2555,1,0,0,0,1,578
9,msg_011CfFJvD6uSxjBVHmwyJrRA,2026-09-20T20:18:51.510Z,claude-fable-5-1,32,4274,251232,625,255538,4274,1,0,1,148,1,388
10,msg_011CfFJwAcrFnVtqeDGicAT5,2026-09-20T20:18:58.385Z,claude-fable-5-1,32,1250,255506,243,256788,1250,0,0,0,0,1,377
11,msg_011CfFJwXcuNZ5hiAiDQNUQJ,2026-09-20T20:19:05.160Z,claude-fable-5-1,32,7808,256756,294,264596,7808,1,0,0,0,1,184
12,msg_011CfFJwvbHJfJfvQgyPtsGn,2026-09-20T20:19:11.819Z,claude-fable-5-1,32,8011,264564,303,272607,8011,1,0,0,0,1,200
13,msg_011CfFJxQyL3LTbJ6EmeC6R1,2026-09-20T20:19:14.705Z,claude-fable-5-1,32,3981,272575,175,276588,3981,0,0,0,0,1,213
14,msg_011CfFJxd6bXBPam8QdYkoXN,2026-09-20T20:19:17.097Z,claude-fable-5-1,32,1216,276556,143,277804,1216,0,0,0,0,1,165
15,msg_011CfFJxoJWbXvjcPkhCDhY7,2026-09-20T20:19:25.080Z,claude-fable-5-1,32,6383,277772,493,284187,6383,1,197,0,0,1,743
16,msg_011CfFJyVvGMXnRnSVPCCxn7,2026-09-20T20:19:35.960Z,claude-fable-5-1,32,1905,284155,767,286092,1905,1,0,0,0,1,942
17,msg_011CfFJzHnJ21c776kEY4WK9,2026-09-20T20:21:09.277Z,claude-fable-5-1,32,1995,286060,6252,288087,1995,1,0,0,0,1,1446
18,msg_011CfFK7Afrpm4d69EdSAUGA,2026-09-20T20:21:27.595Z,claude-fable-5-1,32,11037,288055,1289,299124,11037,1,0,0,0,1,1361
19,msg_011CfFK8ZAyqMt5PWHtuSioz,2026-09-20T20:21:34.194Z,claude-fable-5-1,32,4899,299092,231,304023,4899,1,0,0,0,1,99
20,msg_011CfFK8uV7TcdZZKQiX2Egn,2026-09-20T20:21:44.269Z,claude-fable-5-1,32,13487,303991,641,317510,13487,0,0,1,170,1,1078
21,msg_011CfFK9nxEaDnNHDpVgYC3A,2026-09-20T20:22:23.378Z,claude-fable-5-1,32,3074,317478,2529,320584,3074,1,0,0,0,1,1367
22,msg_011CfFKCkdfN2S2eBHMLqJgm,2026-09-20T20:22:52.354Z,claude-fable-5-1,32,4047,320552,1782,324631,4047,1,0,0,0,1,457
23,msg_011CfFKEg1QugKWMzni3wwg2,2026-09-20T20:23:58.785Z,claude-fable-5-1,32,5056,324599,4399,329687,5056,1,0,0,0,1,667
24,msg_011CfFKKaKVrGH5HGcunwPxL,2026-09-20T20:24:06.555Z,claude-fable-5-1,32,8484,329655,547,338171,8484,1,0,0,0,1,741
25,msg_011CfFKLEebXgAkytXafcRwU,2026-09-20T20:24:12.768Z,claude-fable-5-1,32,2457,338139,378,340628,2457,1,0,0,0,1,385
26,msg_011CfFKLbh8No5LC4a6AcWwT,2026-09-20T20:25:33.172Z,claude-fable-5-1,32,3282,340596,6304,343910,3282,1,183,0,0,1,13492
27,msg_011CfFKSXYWANwgWjJSJYmjN,2026-09-20T20:26:09.207Z,claude-fable-5-1,32,6515,343878,2998,350425,6515,1,0,0,0,1,5600
28,msg_011CfFKVHhPmboFc7SXFmfRF,2026-09-20T20:26:21.386Z,claude-fable-5-1,32,4745,350393,818,355170,4745,1,0,0,0,1,1036
29,msg_011CfFKWCBYDWwXAmCqKppkX,2026-09-20T20:28:10.481Z,claude-fable-5-1,32,2476,355138,9511,357646,2476,1,0,0,0,1,16912
30,msg_011CfFKe8zGskFa6UUgRc93h,2026-09-20T20:28:13.938Z,claude-fable-5-1,32,9594,357614,168,367240,9594,0,0,0,0,1,209
31,msg_011CfFKegDV6gNSuhwmGLK1N,2026-09-20T20:28:38.660Z,claude-fable-5-1,32,875,367208,1440,368115,875,1,0,1,196,1,2022
32,msg_011CfFKgZJ4uVYXhRXmJ5DzG,2026-09-20T20:28:58.505Z,claude-fable-5-1,32,5857,368083,1153,373972,5857,1,0,0,0,1,607
33,msg_011CfFKhfcbJ7uAZCrqvNu9j,2026-09-20T20:29:15.709Z,claude-fable-5-1,32,8804,373940,1236,382776,8804,1,0,0,0,1,647
34,msg_011CfFKiwFxmUenuFq6g5joG,2026-09-20T20:29:40.485Z,claude-fable-5-1,32,1438,382744,2012,384214,1438,1,0,0,0,1,3389
35,msg_011CfFKm26EDE9cLpjHXgzv5,2026-09-20T20:30:07.509Z,claude-fable-5-1,32,3073,384182,1480,387287,3073,1,0,0,0,1,409
36,msg_011CfFKnr4HjH9EQpTtcF88M,2026-09-20T20:30:42.736Z,claude-fable-5-1,32,1748,387255,2598,389035,1748,1,0,0,0,1,3432
37,msg_011CfFKqcp9rhKS6CDvQgbSR,2026-09-20T20:32:07.486Z,claude-fable-5-1,32,7507,389003,7112,396542,7507,1,293,0,0,1,14422
38,msg_011CfFKwjpVUK32raNkk64Pt,2026-09-20T20:32:28.136Z,claude-fable-5-1,32,11812,396510,1276,408354,11812,1,0,0,0,1,1085
39,msg_011CfFKyCabhPM5uFEdAEJcg,2026-09-20T20:32:55.479Z,claude-fable-5-1,32,4274,408322,1623,412628,4274,1,0,0,0,1,357
40,msg_011CfFL1DetwuEm9yioQfDog,2026-09-20T20:34:31.102Z,claude-fable-5-1,32,2916,412596,6054,415544,2916,0,0,0,0,1,12136
41,msg_011CfFL8JeDvhct7qDEbt7y3,2026-09-20T20:35:49.788Z,claude-fable-5-1,32,7198,415512,6246,422742,7198,1,0,1,89,1,12100
42,msg_011CfFLE7wi9qPB3Gsrs4f7g,2026-09-20T20:35:59.950Z,claude-fable-5-1,32,7089,422710,579,429831,7089,1,0,0,0,1,846
43,msg_011CfFLEt835PE3k1mGU6AW2,2026-09-20T20:37:32.075Z,claude-fable-5-1,32,855,429799,5707,430686,855,1,0,0,0,1,9938
44,msg_011CfFLNMjuQ9dWRvqU6W941,2026-09-20T20:38:08.285Z,claude-fable-5-1,32,10985,430654,1546,441671,10985,1,0,0,0,1,1479
45,msg_011CfFLQvt1Ej61YpiAfBqTX,2026-09-20T20:40:23.867Z,claude-fable-5-1,32,2753,441639,7622,444424,2753,1,0,0,0,1,14261
46,msg_011CfFLaBiycYz2xjndQuVKv,2026-09-20T20:40:52.049Z,claude-fable-5-1,32,7729,444392,1738,452153,7729,0,0,0,0,1,3449
47,msg_011CfFLcQqaCRpSxB4G1psZu,2026-09-20T20:41:15.112Z,claude-fable-5-1,32,2598,452121,1500,454751,2598,1,0,1,155,1,1612
